text,label
"Your account has been suspended. Click the link immediately to verify your account.","phishing"
"Congratulations! You have won a prize. Submit your details to claim it now.","phishing"
"Urgent security alert. Your password will expire today. Verify your account immediately.","phishing"
"Your payment failed. Click here to update your billing information.","phishing"
"Your bank account requires immediate verification. Login now to avoid suspension.","phishing"
"We detected unusual activity on your account. Confirm your identity using the link below.","phishing"
"Final warning. Your account will be permanently closed unless you verify your information.","phishing"
"You have received an important refund. Click the link to claim your money.","phishing"
"Your mailbox is full. Sign in immediately to increase your storage limit.","phishing"
"Security verification required. Enter your account information to continue.","phishing"
"Please find attached the agenda for tomorrow's team meeting.","legitimate"
"Your monthly electricity bill is now available in your customer portal.","legitimate"
"The project meeting has been moved to 3 PM tomorrow.","legitimate"
"Thank you for submitting your application. We will review it shortly.","legitimate"
"Your order has been shipped and is expected to arrive on Friday.","legitimate"
"Please review the attached report before our meeting.","legitimate"
"Your password was successfully changed. Contact support if you did not make this change.","legitimate"
"The quarterly company newsletter is now available for employees.","legitimate"
"Your appointment is confirmed for Monday at 10 AM.","legitimate"
"Please complete the scheduled training module before the end of the week.","legitimate"
